Date;USD Exchange Rate;EUR Exchange Rate
October 31, 2025;80.5037;93.3894
October 30, 2025;79.4715;92.2466
October 29, 2025;79.8174;92.9395
October 28, 2025;78.9848;92.0233
October 27, 2025;80.9713;94.082
October 26, 2025;80.9713;
October 25, 2025;80.9713;
October 24, 2025;81.2690;94.3889
October 23, 2025;81.6549;94.7543
October 22, 2025;81.3475;94.6656
October 21, 2025;81.3582;94.3845
October 20, 2025;80.9834;94.5835
October 19, 2025;;94.5835
October 18, 2025;;94.5835
October 17, 2025;79.0839;92.0834
October 16, 2025;78.8390;91.7258
October 15, 2025;79.9589;92.6816
October 14, 2025;80.8548;93.9181
October 13, 2025;81.1898;94.0491
October 12, 2025;81.1898;94.0491
October 11, 2025;81.1898;94.0491
October 10, 2025;81.4103;94.7030
October 9, 2025;81.5478;94.9351
October 8, 2025;81.9349;95.6722
October 7, 2025;83.0000;96.8345
October 6, 2025;;96.0525
October 5, 2025;81.8969;
October 4, 2025;81.8969;96.0525
October 3, 2025;81.0085;95.3411
October 2, 2025;81.4967;95.6382
October 1, 2025;82.6084;96.8644
